,origin,destination,count,delay_rate,avg_delay,avg_diff_flt,dep_arr_count
162,KFLL,KMCO,6,0.5289855072463768,10.95338164251208,-8.341666666666667,624.0
163,KFLL,KMDW,6,0.5289855072463768,10.95338164251208,-12.108333333333334,624.0
164,KFLL,KPHL,6,0.5289855072463768,10.95338164251208,3.49166666666666,624.0
165,KFLL,KPIT,39,0.5289855072463768,10.95338164251208,-5.51666666666667,624.0
166,KFLL,KRDU,45,0.5289855072463768,10.95338164251208,-2.051111111111111,624.0
167,KFLL,KSEA,36,0.5289855072463768,10.95338164251208,-0.7249999999999943,624.0
168,KFLL,MMUN,36,0.5289855072463768,10.95338164251208,-2.0499999999999985,624.0
169,KFLL,SEQM,36,0.5289855072463768,10.95338164251208,-3.134722222222223,624.0
170,KFOK,KBWI,6,1.0,91.0,4.416666666666664,12.0
171,KGEG,KSMF,6,0.5,1.8416666666666666,-1.8166666666666629,27.0
172,KGRR,KORD,18,0.3333333333333333,12.336111111111112,-13.597222222222223,33.0
173,KGSP,KLAS,12,1.0,93.11666666666667,-9.112499999999997,24.0
174,KHIO,KMFR,9,0.6666666666666666,1.488888888888889,1.7055555555555582,21.0
175,KHOB,KIAH,12,0.5,103.75,2.1583333333333328,12.0
176,KHOU,KMDW,6,0.6666666666666666,36.266666666666666,-22.33333333333333,24.0
177,KIAD,KBOS,9,1.0,30.734722222222224,-2.8833333333333306,144.0
178,KIAD,KCLT,15,1.0,30.734722222222224,3.1000000000000014,144.0
179,KIAD,KDTW,12,1.0,30.734722222222224,-13.187500000000002,144.0
180,KIAH,CYYC,36,0.8870967741935484,32.88611111111112,-97.54861111111113,666.0
181,KIAH,KAMA,15,0.8870967741935484,32.88611111111112,-6.916666666666666,666.0
182,KIAH,KAUS,30,0.8870967741935484,32.88611111111112,-9.323333333333334,666.0
183,KIAH,KCLT,39,0.8870967741935484,32.88611111111112,2.642307692307691,666.0
184,KIAH,KOKC,36,0.8870967741935484,32.88611111111112,1.676388888888889,666.0
185,KIAH,KRIC,18,0.8870967741935484,32.88611111111112,-19.316666666666666,666.0
186,KIAH,KSGF,30,0.8870967741935484,32.88611111111112,-7.068333333333333,666.0
187,KIAH,KSMF,33,0.8870967741935484,32.88611111111112,-0.7757575757575782,666.0
188,KIAH,KTUL,39,0.8870967741935484,32.88611111111112,1.526923076923076,666.0
189,KIAH,MMAS,18,0.8870967741935484,32.88611111111112,-9.886111111111111,666.0
190,KIAH,MMCU,36,0.8870967741935484,32.88611111111112,-8.140277777777778,666.0
191,KIAH,MMGL,36,0.8870967741935484,32.88611111111112,-1.155555555555555,666.0
192,KIAH,MMMX,39,0.8870967741935484,32.88611111111112,3.0910256410256416,666.0
193,KIAH,MMMY,39,0.8870967741935484,32.88611111111112,5.167948717948718,666.0
194,KIAH,MMQT,36,0.8870967741935484,32.88611111111112,3.9722222222222223,666.0
195,KIAH,MROC,36,0.8870967741935484,32.88611111111112,-2.559722222222218,666.0
196,KIAH,OTHH,36,0.8870967741935484,32.88611111111112,-49.650000000000006,666.0
197,KILM,KCLT,18,0.7142857142857143,48.935714285714276,4.230555555555554,36.0
198,KJFK,EBBR,15,0.9516129032258065,50.518279569892464,-9.489999999999998,804.0
199,KJFK,EGLL,15,0.9516129032258065,50.518279569892464,12.330000000000007,804.0
200,KJFK,KCLT,33,0.9516129032258065,50.518279569892464,-30.515151515151516,804.0
201,KJFK,KFLL,36,0.9516129032258065,50.518279569892464,-71.49583333333334,804.0
202,KJFK,KMIA,27,0.9516129032258065,50.518279569892464,-7.09074074074074,804.0
203,KJFK,KRDU,33,0.9516129032258065,50.518279569892464,-6.333333333333337,804.0
204,KJFK,KSAN,36,0.9516129032258065,50.518279569892464,-60.04722222222222,804.0
205,KJFK,KSEA,27,0.9516129032258065,50.518279569892464,-2.0574074074074122,804.0
206,KJFK,KSFO,39,0.9516129032258065,50.518279569892464,-1.2641025641025594,804.0
207,KJFK,KSLC,15,0.9516129032258065,50.518279569892464,8.900000000000011,804.0
208,KJFK,LEMD,36,0.9516129032258065,50.518279569892464,1.0958333333333314,804.0
209,KJFK,LIRF,15,0.9516129032258065,50.518279569892464,-1.5199999999999931,804.0
210,KJFK,LYBE,30,0.9516129032258065,50.518279569892464,-42.355,804.0
211,KLAS,CYYC,36,0.7333333333333333,24.700972222222234,4.44722222222222,579.0
212,KLAS,KABQ,6,0.7333333333333333,24.700972222222234,-2.116666666666667,579.0
213,KLAS,KAUS,6,0.7333333333333333,24.700972222222234,-0.5583333333333229,579.0
214,KLAS,KBWI,21,0.7333333333333333,24.700972222222234,-2.430952380952379,579.0
215,KLAS,KDEN,15,0.7333333333333333,24.700972222222234,3.093333333333336,579.0
216,KLAS,KDTW,30,0.7333333333333333,24.700972222222234,-1.976666666666668,579.0
217,KLAS,KEWR,36,0.7333333333333333,24.700972222222234,-44.125000000000014,579.0
218,KLAS,KICT,6,0.7333333333333333,24.700972222222234,0.3166666666666629,579.0
219,KLAS,KLAX,54,0.7333333333333333,24.700972222222234,-13.612962962962955,579.0
220,KLAS,KONT,6,0.7333333333333333,24.700972222222234,-9.399999999999999,579.0
221,KLAS,KPDX,6,0.7333333333333333,24.700972222222234,-4.241666666666667,579.0
222,KLAS,KPHX,12,0.7333333333333333,24.700972222222234,-4.5,579.0
223,KLAS,KSEA,33,0.7333333333333333,24.700972222222234,2.848484848484848,579.0
224,KLAS,KSFO,75,0.7333333333333333,24.700972222222234,-6.049333333333334,579.0
225,KLAS,KSMF,6,0.7333333333333333,24.700972222222234,-10.208333333333332,579.0
226,KLAX,KABQ,6,0.67,13.401499999999997,-1.3249999999999957,648.0
227,KLAX,KHOU,6,0.67,13.401499999999997,5.891666666666666,648.0
228,KLAX,KJFK,51,0.67,13.401499999999997,1.0598039215686266,648.0
229,KLAX,KLAS,60,0.67,13.401499999999997,-6.136666666666667,648.0
230,KLAX,KOAK,12,0.67,13.401499999999997,-7.704166666666669,648.0
231,KLAX,KORD,33,0.67,13.401499999999997,-39.625757575757575,648.0
232,KLAX,KPHX,21,0.67,13.401499999999997,-31.9,648.0
233,KLAX,KSFO,15,0.67,13.401499999999997,-14.59666666666667,648.0
234,KLAX,KSJC,6,0.67,13.401499999999997,12.88333333333334,648.0
235,KLAX,KSTS,12,0.67,13.401499999999997,-7.162500000000001,648.0
236,KLAX,KTUS,12,0.67,13.401499999999997,1.6875000000000018,648.0
237,KLAX,NTAA,18,0.67,13.401499999999997,3.6250000000000093,648.0
238,KLAX,PHLI,27,0.67,13.401499999999997,-1.2629629629629704,648.0
239,KLAX,SCEL,18,0.67,13.401499999999997,4.188888888888887,648.0
240,KLGA,CYUL,36,0.8031496062992126,33.776640419947505,2.138888888888888,447.0
241,KLGA,CYYZ,33,0.8031496062992126,33.776640419947505,1.8303030303030305,447.0
242,KLGA,KATL,27,0.8031496062992126,33.776640419947505,1.3259259259259248,447.0
243,KLGA,KCLT,18,0.8031496062992126,33.776640419947505,-12.016666666666666,447.0
244,KLGA,KFLL,36,0.8031496062992126,33.776640419947505,-15.515277777777786,447.0
245,KLGA,KIAD,33,0.8031496062992126,33.776640419947505,-0.003030303030302858,447.0
246,KLGA,KMDW,6,0.8031496062992126,33.776640419947505,-10.049999999999997,447.0
247,KLGA,KMIA,18,0.8031496062992126,33.776640419947505,-6.461111111111109,447.0
248,KLGA,KORD,99,0.8031496062992126,33.776640419947505,-23.125252525252527,447.0
249,KLGA,KOWD,6,0.8031496062992126,33.776640419947505,4.125,447.0
250,KLGA,KPIT,30,0.8031496062992126,33.776640419947505,-10.299999999999999,447.0
251,KLGA,KRDU,33,0.8031496062992126,33.776640419947505,-24.303030303030305,447.0
252,KMCI,KPDX,6,0.3333333333333333,0.3055555555555556,2.3583333333333347,15.0
253,KMCO,CYYZ,36,0.7142857142857143,23.679206349206353,-3.309722222222225,456.0
254,KMCO,EHAM,30,0.7142857142857143,23.679206349206353,-7.67666666666666,456.0
255,KMCO,KBWI,12,0.7142857142857143,23.679206349206353,-2.679166666666667,456.0
256,KMCO,KGSP,12,0.7142857142857143,23.679206349206353,3.012500000000001,456.0
257,KMCO,KIAH,6,0.7142857142857143,23.679206349206353,0.9666666666666689,456.0
258,KMCO,KJFK,54,0.7142857142857143,23.679206349206353,-3.3462962962962943,456.0
259,KMCO,KLAX,33,0.7142857142857143,23.679206349206353,-0.7348484848484833,456.0
260,KMCO,KMHT,6,0.7142857142857143,23.679206349206353,-2.283333333333331,456.0
261,KMCO,KMIA,18,0.7142857142857143,23.679206349206353,-8.466666666666667,456.0
262,KMCO,KMKE,6,0.7142857142857143,23.679206349206353,0.05833333333333713,456.0
263,KMCO,KOPF,6,0.7142857142857143,23.679206349206353,-2.291666666666668,456.0
264,KMCO,KORD,39,0.7142857142857143,23.679206349206353,-11.06025641025641,456.0
265,KMCO,KPHL,39,0.7142857142857143,23.679206349206353,-8.46025641025641,456.0
266,KMCO,KPVD,6,0.7142857142857143,23.679206349206353,7.200000000000003,456.0
267,KMDW,KABQ,6,0.8888888888888888,18.01172839506173,-5.091666666666669,132.0
268,KMDW,KAUS,6,0.8888888888888888,18.01172839506173,1.875,132.0
269,KMDW,KBOI,6,0.8888888888888888,18.01172839506173,-5.1583333333333306,132.0
270,KMDW,KCVG,6,0.8888888888888888,18.01172839506173,-21.266666666666666,132.0
271,KMDW,KLAX,6,0.8888888888888888,18.01172839506173,-0.025000000000005684,132.0
272,KMDW,KMSY,6,0.8888888888888888,18.01172839506173,2.0249999999999986,132.0
273,KMDW,KOAK,6,0.8888888888888888,18.01172839506173,-5.924999999999997,132.0
274,KMDW,KOMA,6,0.8888888888888888,18.01172839506173,-0.2583333333333293,132.0
275,KMDW,KPHL,6,0.8888888888888888,18.01172839506173,-5.758333333333333,132.0
276,KMDW,KRNO,6,0.8888888888888888,18.01172839506173,7.791666666666669,132.0
277,KMDW,KSEA,6,0.8888888888888888,18.01172839506173,4.741666666666674,132.0
278,KMDW,KSLC,6,0.8888888888888888,18.01172839506173,-7.816666666666663,132.0
279,KMDW,KSTL,6,0.8888888888888888,18.01172839506173,-8.641666666666666,132.0
280,KMFR,KHIO,12,0.5555555555555556,11.374074074074075,1.6500000000000004,54.0
281,KMIA,KGSO,39,0.7978142076502732,19.30391621129326,-7.112820512820517,693.0
282,KMIA,KJFK,75,0.7978142076502732,19.30391621129326,5.48266666666667,693.0
283,KMIA,KLGA,15,0.7978142076502732,19.30391621129326,-4.20666666666666,693.0
284,KMIA,KMCO,51,0.7978142076502732,19.30391621129326,-11.826470588235292,693.0
285,KMIA,KORD,39,0.7978142076502732,19.30391621129326,-18.46666666666667,693.0
286,KMIA,KPHL,39,0.7978142076502732,19.30391621129326,-23.20769230769231,693.0
287,KMIA,KPIT,39,0.7978142076502732,19.30391621129326,0.05384615384615163,693.0
288,KMIA,KSFO,12,0.7978142076502732,19.30391621129326,-5.666666666666656,693.0
289,KMIA,KTPA,15,0.7978142076502732,19.30391621129326,-0.13333333333333428,693.0
290,KMIA,LEMD,36,0.7978142076502732,19.30391621129326,2.0277777777777666,693.0
291,KMIA,MDSD,36,0.7978142076502732,19.30391621129326,0.28888888888888786,693.0
292,KMIA,OTHH,36,0.7978142076502732,19.30391621129326,-43.444444444444436,693.0
